Location B1 B2 B3 B4
1 46 66.87 79 56.62
2 39.5 68 74 57.5
3 43.37 64.25 75.87 63.62
4 45.25 64.5 74.25 67.87
5 54.42 69.5 76.62 68
6 51.12 63 73.12 62.62
7 52.11 65.83 75 65.16
8 50.71 59 72.5 68.92
9 55.15 57.35 68.57 69.42
10 56.21 63.5 68.15 74.42
11 57.31 57.62 63.5 68.31
12 59.53 57.86 66.13 78.78
13 60.93 51.26 66.64 81.69
14 59.45 60.5 62.61 74.69
15 67.05 47.06 58.18 78.27
16 62.05 51.89 60.44 79.87
17 66.83 46.91 58.08 79.68
18 61.55 45.75 61.85 78.42
19 64.33 42.66 53.82 81.88
20 66.95 40.09 53.55 81.27
21 75.59 45.53 53.06 79.13
22 75.29 46 54.35 75.29
23 77.94 41.35 51.47 76.29
24 80.8 46.2 46.85 76.7
25 78.42 45.45 43.2 73
26 81.09 56.12 47 71.48
27 81.03 48.82 44.53 66.32
28 80.07 54.06 41.86 66.8
29 83.73 55.23 41.28 72.14
30 79.46 56.72 47.97 64.09
31 80.8 58.33 42.85 64.88
32 77.86 62.43 46.21 60.69
33 76.53 60.93 49.06 64.06
34 79.06 61.76 48.05 58.17
35 76.37 57.75 52.33 69.71
36 74.03 61.78 49.53 60.56
37 74.91 69.41 56.37 53.75
38 68.39 65.65 58.43 57.21
39 69.95 62.56 53.4 57.8
40 69.54 72.54 51.79 51.5
41 63.47 71.76 56.04 50.19
42 60.93 76.12 56.44 46.73
43 60.57 67.8 55.76 53.47
44 65.48 73.56 58.2 46.33
45 55.95 75.52 58.2 47.66
46 50.82 79.61 60.7 42.85
47 58.46 75.59 63.07 47.23
48 53.51 78.88 69.25 46.14
49 46.3 82.15 77.7 49.35
50 49.5 80.26 80.46 48.84
51 53.05 82.68 75.61 49.88
52 48.14 79.84 78.19 45
53 45.21 77.59 79.45 47.75
54 40 67.72 75.61 49.83
